regcode,provcode,citycode,regcode_9,provcode_9,citycode_9,cityname,geographic_level,old_names,cityclass,incomeclass,addedby,UserLevelID,dateupdated,status
1,1055,105501,1,155,15501,AGNO,Mun,,,3rd,ims,0,,A
1,1055,105502,1,155,15502,AGUILAR,Mun,,,3rd,ims,0,,A
1,1055,105503,1,155,15503,CITY OF ALAMINOS,City,,CC,4th,ims,0,,A
1,1055,105504,1,155,15504,ALCALA,Mun,,,3rd,ims,0,,A
1,1055,105505,1,155,15505,ANDA,Mun,,,3rd,ims,0,,A
1,1055,105506,1,155,15506,ASINGAN,Mun,,,2nd,ims,0,,A
1,1055,105507,1,155,15507,BALUNGAO,Mun,,,4th,ims,0,,A
1,1055,105508,1,155,15508,BANI,Mun,,,2nd,ims,0,,A
1,1055,105509,1,155,15509,BASISTA,Mun,,,4th,ims,0,,A
1,1055,105510,1,155,15510,BAUTISTA,Mun,,,4th,ims,0,,A
1,1055,105511,1,155,15511,BAYAMBANG,Mun,,,1st,ims,0,,A
1,1055,105512,1,155,15512,BINALONAN,Mun,,,1st,ims,0,,A
1,1055,105513,1,155,15513,BINMALEY,Mun,,,1st,ims,0,,A
1,1055,105514,1,155,15514,BOLINAO,Mun,,,1st,ims,0,,A
1,1055,105515,1,155,15515,BUGALLON,Mun,,,2nd,ims,0,,A
1,1055,105516,1,155,15516,BURGOS,Mun,,,4th,ims,0,,A
1,1055,105517,1,155,15517,CALASIAO,Mun,,,1st,ims,0,,A
1,1055,105518,1,155,15518,CITY OF DAGUPAN,City,,ICC,2nd,ims,0,,A
1,1055,105519,1,155,15519,DASOL,Mun,,,3rd,ims,0,,A
1,1055,105520,1,155,15520,INFANTA,Mun,,,3rd,ims,0,,A
1,1055,105521,1,155,15521,LABRADOR,Mun,,,4th,ims,0,,A
1,1055,105522,1,155,15522,LINGAYEN (CAPITAL),Mun,,,1st,ims,0,,A
1,1055,105523,1,155,15523,MABINI,Mun,,,3rd,ims,0,,A
1,1055,105524,1,155,15524,MALASIQUI,Mun,,,1st,ims,0,,A
1,1055,105525,1,155,15525,MANAOAG,Mun,,,1st,ims,0,,A
1,1055,105526,1,155,15526,MANGALDAN,Mun,,,1st,ims,0,,A
1,1055,105527,1,155,15527,MANGATAREM,Mun,,,1st,ims,0,,A
1,1055,105528,1,155,15528,MAPANDAN,Mun,,,3rd,ims,0,,A
1,1055,105529,1,155,15529,NATIVIDAD,Mun,,,4th,ims,0,,A
1,1055,105530,1,155,15530,POZORRUBIO,Mun,,,1st,ims,0,,A
1,1055,105531,1,155,15531,ROSALES,Mun,,,1st,ims,0,,A
1,1055,105532,1,155,15532,CITY OF SAN CARLOS,City,,CC,3rd,ims,0,,A
1,1055,105533,1,155,15533,SAN FABIAN,Mun,,,1st,ims,0,,A
1,1055,105534,1,155,15534,SAN JACINTO,Mun,,,3rd,ims,0,,A
1,1055,105535,1,155,15535,SAN MANUEL,Mun,,,1st,ims,0,,A
1,1055,105536,1,155,15536,SAN NICOLAS,Mun,,,1st,ims,0,,A
1,1055,105537,1,155,15537,SAN QUINTIN,Mun,,,3rd,ims,0,,A
1,1055,105538,1,155,15538,SANTA BARBARA,Mun,,,1st,ims,0,,A
1,1055,105539,1,155,15539,SANTA MARIA,Mun,,,4th,ims,0,,A
1,1055,105540,1,155,15540,SANTO TOMAS,Mun,,,5th,ims,0,,A
1,1055,105541,1,155,15541,SISON,Mun,,,3rd,ims,0,,A
1,1055,105542,1,155,15542,SUAL,Mun,,,1st,ims,0,,A
1,1055,105543,1,155,15543,TAYUG,Mun,,,3rd,ims,0,,A
1,1055,105544,1,155,15544,UMINGAN,Mun,,,1st,ims,0,,A
1,1055,105545,1,155,15545,URBIZTONDO,Mun,,,3rd,ims,0,,A
1,1055,105546,1,155,15546,CITY OF URDANETA,City,,CC,2nd,ims,0,,A
1,1055,105547,1,155,15547,VILLASIS,Mun,,,1st,ims,0,,A
1,1055,105548,1,155,15548,LAOAC,Mun,,,4th,ims,0,,A
2,2009,200901,2,209,20901,BASCO (CAPITAL),Mun,,,5th,ims,0,,A
2,2009,200902,2,209,20902,ITBAYAT,Mun,,,5th,ims,0,,A
2,2009,200903,2,209,20903,IVANA,Mun,,,6th,ims,0,,A
2,2009,200904,2,209,20904,MAHATAO,Mun,,,6th,ims,0,,A
2,2009,200905,2,209,20905,SABTANG,Mun,,,6th,ims,0,,A
2,2009,200906,2,209,20906,UYUGAN,Mun,,,6th,ims,0,,A
